method,split,RMSE,AUUC,AUUC_thout
RAND,0,,482.630985811189,524.9999999998461
ITE_best,0,0.001755205043385382,731.3550625510339,706.4999999998521
ITE_2M,0,0.0017546837638862235,731.3550625510339,706.4999999998521
ITE_SDR,0,0.0017508883454439832,731.3550625510339,706.4999999998521
MITE_2M,0,0.00032630337893646566,667.5829311113824,769.4999999997652
MITE_SDR,0,0.0003222650410434513,667.5829311113824,769.4999999997652
Oracle,0,,678.0997460176969,772.4999999997372
RAND,1,,567.4095151194997,524.9999999998483
ITE_best,1,0.0016849011242430938,863.1783839831269,697.4999999998013
ITE_2M,1,0.001684569194992368,863.1783839831269,697.4999999998013
ITE_SDR,1,0.0016844943513729888,863.1783839831269,697.4999999998013
MITE_2M,1,0.00015368495255309252,786.3249574830296,772.4999999997402
MITE_SDR,1,0.00014289363913346737,786.3249574830296,772.4999999997402
Oracle,1,,786.3249574830296,772.4999999997402
RAND,2,,454.876295915652,524.9999999998477
ITE_best,2,0.0018842061365039744,656.7046724337976,676.4999999998096
ITE_2M,2,0.001883741493200566,656.7046724337976,676.4999999998096
ITE_SDR,2,0.0018837016718130472,656.7046724337976,676.4999999998096
MITE_2M,2,0.0002102534013885193,730.117058508925,772.4999999997397
MITE_SDR,2,0.00020536739605328132,730.117058508925,772.4999999997397
Oracle,2,,730.117058508925,772.4999999997397
RAND,3,,592.7304209035719,524.9999999998486
ITE_best,3,0.0016080810771371937,855.0078389088314,721.4999999998375
ITE_2M,3,0.0016076840927173553,855.0078389088314,721.4999999998375
ITE_SDR,3,0.001607670504838795,855.0078389088314,721.4999999998375
MITE_2M,3,0.00018337783361903248,772.4541145096681,772.4999999997403
MITE_SDR,3,0.0001730518118669859,772.4541145096681,772.4999999997403
Oracle,3,,772.4541145096681,772.4999999997403
RAND,4,,613.7546985160479,524.999999999847
ITE_best,4,0.0018239575646713684,878.156961711053,712.4999999997676
ITE_2M,4,0.001823401680162556,878.156961711053,712.4999999997676
ITE_SDR,4,0.0018236096879334423,878.156961711053,712.4999999997676
MITE_2M,4,0.00023108178667931536,832.3547299128064,772.4999999997382
MITE_SDR,4,0.00022268527405209826,832.3547299128064,772.4999999997382
Oracle,4,,832.3547299128064,772.4999999997382
RAND,5,,504.6346234665507,524.9999999998477
ITE_best,5,0.001790671826836933,769.4047008821401,706.4999999997995
ITE_2M,5,0.001789944980380588,769.4047008821401,706.4999999997995
ITE_SDR,5,0.0017900997668179421,769.4047008821401,706.4999999997995
MITE_2M,5,0.0002891025398877943,704.841677296635,772.499999999739
MITE_SDR,5,0.00028222814466708846,704.841677296635,772.499999999739
Oracle,5,,704.841677296635,772.499999999739
RAND,6,,449.8443919305573,524.9999999998465
ITE_best,6,0.002325419789601806,576.0310975687514,721.4999999998604
ITE_2M,6,0.002322057513858309,576.0310975687514,721.4999999998604
ITE_SDR,6,0.002324480875166942,576.0310975687514,721.4999999998604
MITE_2M,6,0.00023782178783473808,553.8184927911809,772.4999999997381
MITE_SDR,6,0.00023149728086430983,553.8184927911809,772.4999999997381
Oracle,6,,553.8184927911809,772.4999999997381
RAND,7,,458.95502698381097,524.999999999847
ITE_best,7,0.0023349988089712416,726.3267956377647,634.4999999998823
ITE_2M,7,0.0023345943289898113,726.3267956377647,634.4999999998823
ITE_SDR,7,0.0023345916162598474,726.3267956377647,634.4999999998823
MITE_2M,7,0.00025071618038359316,838.5420377156671,769.4999999997663
MITE_SDR,7,0.00024235599870639352,838.5420377156671,769.4999999997663
Oracle,7,,845.7815938607731,772.4999999997383
RAND,8,,325.7402517119881,524.9999999998478
ITE_best,8,0.002301851162976233,556.3628197115156,661.4999999998131
ITE_2M,8,0.002301195017683168,556.3628197115156,661.4999999998131
ITE_SDR,8,0.0023011768559402864,556.3628197115156,661.4999999998131
MITE_2M,8,0.00017554597479402516,629.6489815949369,772.4999999997394
MITE_SDR,8,0.000172186519199298,629.6489815949369,772.4999999997394
Oracle,8,,629.6489815949369,772.4999999997394
RAND,9,,525.6830228354593,524.9999999998462
ITE_best,9,0.002485247012162936,685.1868201474456,664.4999999997656
ITE_2M,9,0.002484459006428982,685.1868201474456,664.4999999997656
ITE_SDR,9,0.0024825372111959305,685.1868201474456,664.4999999997656
MITE_2M,9,0.0002003622236718531,776.9394317027967,772.4999999997375
MITE_SDR,9,0.0001869967134091218,776.9394317027967,772.4999999997375
Oracle,9,,776.9394317027967,772.4999999997375
RAND,10,,500.2807343267341,524.9999999998479
ITE_best,10,0.002212313762774148,746.9949891355008,655.4999999998365
ITE_2M,10,0.0022107141284489003,746.9949891355008,655.4999999998365
ITE_SDR,10,0.002211795375721483,746.9949891355008,655.4999999998365
MITE_2M,10,0.00024407063016718372,818.7031441969391,769.4999999997679
MITE_SDR,10,0.0002365628662821576,818.7031441969391,769.4999999997679
Oracle,10,,809.9247853959826,772.4999999997399
RAND,11,,745.9684510002553,524.9999999998486
ITE_best,11,0.0026373152957240957,919.9149248947856,661.499999999862
ITE_2M,11,0.002636536531428199,919.9149248947856,661.499999999862
ITE_SDR,11,0.0026367947956870744,919.9149248947856,661.499999999862
MITE_2M,11,0.00013692214720288436,1003.2455353716219,772.4999999997407
MITE_SDR,11,0.00013161466590258712,1003.2455353716219,772.4999999997407
Oracle,11,,1003.2455353716219,772.4999999997407
RAND,12,,600.6304593942077,524.9999999998478
ITE_best,12,0.002570892230779611,802.3390501142849,625.4999999998869
ITE_2M,12,0.0025690983282981557,802.3390501142849,625.4999999998869
ITE_SDR,12,0.002569916166296589,802.3390501142849,625.4999999998869
MITE_2M,12,0.0002570936824871477,851.2522866398922,769.4999999997674
MITE_SDR,12,0.0002501076098838696,851.2522866398922,769.4999999997674
Oracle,12,,853.3225077733744,772.4999999997394
RAND,13,,466.48691733288433,524.9999999998488
ITE_best,13,0.0018819373880100748,651.5247758127108,721.4999999997345
ITE_2M,13,0.0018812741004442855,651.5247758127108,721.4999999997345
ITE_SDR,13,0.00187832306294095,651.5247758127108,721.4999999997345
MITE_2M,13,0.00021309065922833846,642.1331175484768,772.4999999997409
MITE_SDR,13,0.00020874125968539013,642.1331175484768,772.4999999997409
Oracle,13,,642.1331175484768,772.4999999997409
RAND,14,,557.5693061394122,524.9999999998481
ITE_best,14,0.0026883321828118706,690.8418235223606,658.4999999998623
ITE_2M,14,0.0026872406082112037,690.8418235223606,658.4999999998623
ITE_SDR,14,0.00268691442688307,690.8418235223606,658.4999999998623
MITE_2M,14,0.00021434889163719252,819.0511239072528,772.4999999997394
MITE_SDR,14,0.00020299761389267162,819.0511239072528,772.4999999997394
Oracle,14,,819.0511239072528,772.4999999997394
RAND,15,,494.35884804093075,524.9999999998472
ITE_best,15,0.002071910338331773,689.6182933796757,664.4999999998109
ITE_2M,15,0.0020713145508504806,689.6182933796757,664.4999999998109
ITE_SDR,15,0.0020669121140536014,689.6182933796757,664.4999999998109
MITE_2M,15,0.00016933147493381525,715.802300314688,772.499999999739
MITE_SDR,15,0.00016413578127877465,715.802300314688,772.499999999739
Oracle,15,,715.802300314688,772.499999999739
RAND,16,,541.3674271416821,524.9999999998475
ITE_best,16,0.001765843174018521,810.9009698739412,679.4999999998386
ITE_2M,16,0.0017622596686229974,810.9009698739412,679.4999999998386
ITE_SDR,16,0.001765501994570936,810.9009698739412,679.4999999998386
MITE_2M,16,0.00014170851025767397,825.9061894232341,772.4999999997391
MITE_SDR,16,0.00013774485381145394,825.9061894232341,772.4999999997391
Oracle,16,,825.9061894232341,772.4999999997391
RAND,17,,570.1048503723432,524.9999999998483
ITE_best,17,0.001715654633342023,816.3777388708335,715.4999999997772
ITE_2M,17,0.001713715114287442,816.3777388708335,715.4999999997772
ITE_SDR,17,0.0017150946887889826,816.3777388708335,715.4999999997772
MITE_2M,17,0.00012704590215276165,736.5812224303496,772.4999999997405
MITE_SDR,17,0.00012245425145350906,736.5812224303496,772.4999999997405
Oracle,17,,736.5812224303496,772.4999999997405
RAND,18,,570.8786601526335,524.9999999998465
ITE_best,18,0.002430920850375328,769.810644760279,673.4999999998163
ITE_2M,18,0.0024303009289219995,769.810644760279,673.4999999998163
ITE_SDR,18,0.0024232882377404927,769.810644760279,673.4999999998163
MITE_2M,18,0.0002645871167796866,816.1152726258972,769.4999999997369
MITE_SDR,18,0.00025824856922248337,816.1152726258972,769.4999999997369
Oracle,18,,828.6620056973031,772.4999999997374
RAND,19,,485.593741000288,524.9999999998463
ITE_best,19,0.0016654702103609574,728.3856955673236,733.4999999997553
ITE_2M,19,0.0016630923459945684,728.3856955673236,733.4999999997553
ITE_SDR,19,0.0016647139672911026,728.3856955673236,733.4999999997553
MITE_2M,19,0.0003450383446752011,637.8406480346537,769.4999999997652
MITE_SDR,19,0.00034038215792823545,637.8406480346537,769.4999999997652
Oracle,19,,633.3473755762253,772.4999999997373
RAND,20,,629.3465085415155,524.9999999998472
ITE_best,20,0.0022937933450139854,870.6494566565564,673.499999999813
ITE_2M,20,0.002292928276734033,870.6494566565564,673.499999999813
