method,split,RMSE,AUUC,AUUC_thout
RAND,0,,273.7741754610797,174.99999999994674
ITE_best,0,0.0017481307791269007,304.3891280402611,187.49999999993793
ITE_2M,0,0.0017477910622123588,304.3891280402611,187.49999999993793
ITE_SDR,0,0.0017477661312577015,304.3891280402611,187.49999999993793
MITE_2M,0,0.00010889303136519152,362.51613332173673,256.4999999999259
MITE_SDR,0,0.00011219450429399808,362.51613332173673,256.4999999999259
Oracle,0,,378.1600492629126,257.4999999999257
RAND,1,,295.20118669684234,174.99999999994662
ITE_best,1,0.0013983221803281205,184.8926229317374,234.49999999994256
ITE_2M,1,0.001393779420330036,184.8926229317374,234.49999999994256
ITE_SDR,1,0.0013979765023734224,184.8926229317374,234.49999999994256
MITE_2M,1,0.00011303019499614363,250.65731850662945,255.49999999992957
MITE_SDR,1,0.00011571184294289156,250.65731850662945,255.49999999992957
Oracle,1,,266.6895423619356,257.4999999999255
RAND,2,,397.5304384375959,174.9999999999461
ITE_best,2,0.0014453460519454986,406.9716071772888,200.4999999999766
ITE_2M,2,0.0014450690396287668,406.9716071772888,200.4999999999766
ITE_SDR,2,0.0014450667709610058,406.9716071772888,200.4999999999766
MITE_2M,2,7.7672881052267e-05,477.5229946920387,257.4999999999247
MITE_SDR,2,7.204147881453199e-05,477.5229946920387,257.4999999999247
Oracle,2,,477.5229946920387,257.4999999999247
RAND,3,,247.1639511568428,174.99999999994608
ITE_best,3,0.0012634958931644126,361.0336657809183,218.49999999993787
ITE_2M,3,0.0012609399658362116,361.0336657809183,218.49999999993787
ITE_SDR,3,0.0012631570834899062,361.0336657809183,218.49999999993787
MITE_2M,3,0.00010457468320932622,286.2185853900048,257.4999999999243
MITE_SDR,3,0.00010611646649233928,286.2185853900048,257.4999999999243
Oracle,3,,286.2185853900048,257.4999999999243
RAND,4,,183.71895019714793,174.99999999994665
ITE_best,4,0.002210234000993291,188.4203641143944,191.49999999994955
ITE_2M,4,0.002209693710512027,188.4203641143944,191.49999999994955
ITE_SDR,4,0.002209718510574767,188.4203641143944,191.49999999994955
MITE_2M,4,0.00012513924770181042,272.8867221460672,255.49999999992176
MITE_SDR,4,0.00012552619956132695,272.8867221460672,255.49999999992176
Oracle,4,,291.2119782376269,257.4999999999257
RAND,5,,196.48429842984478,174.9999999999464
ITE_best,5,0.0021117385636585232,205.15280427698625,178.4999999999806
ITE_2M,5,0.0021112393899671267,205.15280427698625,178.4999999999806
ITE_SDR,5,0.0021112311689405103,205.15280427698625,178.4999999999806
MITE_2M,5,0.00011441301613741208,332.38243156151367,256.49999999992554
MITE_SDR,5,0.00011538864639884106,332.38243156151367,256.49999999992554
Oracle,5,,333.11531195858123,257.49999999992536
RAND,6,,137.09613674291177,174.99999999994634
ITE_best,6,0.001519971265707493,107.36527928998454,238.49999999992386
ITE_2M,6,0.0015196113865090098,107.36527928998454,238.49999999992386
ITE_SDR,6,0.0015195218117754444,107.36527928998454,238.49999999992386
MITE_2M,6,0.00010420257212218795,75.03207552250355,256.4999999999248
MITE_SDR,6,0.00010432057202580956,75.03207552250355,256.4999999999248
Oracle,6,,92.19253664174371,257.49999999992514
RAND,7,,384.91382234810226,174.9999999999467
ITE_best,7,0.0013157725755360567,346.2272939819426,219.4999999999083
ITE_2M,7,0.0013134802824850788,346.2272939819426,219.4999999999083
ITE_SDR,7,0.0013155092194965287,346.2272939819426,219.4999999999083
MITE_2M,7,0.00015180266623154723,413.3801542427142,256.4999999999281
MITE_SDR,7,0.00015222393696416229,413.3801542427142,256.4999999999281
Oracle,7,,394.5194045637372,257.49999999992565
RAND,8,,282.03597334640654,174.999999999946
ITE_best,8,0.0016123282268997775,142.65939122663883,150.49999999991783
ITE_2M,8,0.0016112219549051167,142.65939122663883,150.49999999991783
ITE_SDR,8,0.0016091871336214672,142.65939122663883,150.49999999991783
MITE_2M,8,0.00010701696178454455,442.6676703455405,256.49999999992843
MITE_SDR,8,0.0001056869152088227,442.6676703455405,256.49999999992843
Oracle,8,,445.19845791387075,257.49999999992446
RAND,9,,287.10548051501246,174.9999999999461
ITE_best,9,0.001559413387081005,333.2568423637191,153.4999999999513
ITE_2M,9,0.00155912484436423,333.2568423637191,153.4999999999513
ITE_SDR,9,0.0015591119193651137,333.2568423637191,153.4999999999513
MITE_2M,9,0.00014127637529376413,470.26121073404187,254.49999999993494
MITE_SDR,9,0.00014117324056512503,470.26121073404187,254.49999999993494
Oracle,9,,460.2341236251694,257.49999999992457
RAND,10,,222.19877436234674,174.99999999994643
ITE_best,10,0.0019070790857956923,157.98761039111113,153.49999999997112
ITE_2M,10,0.0019074207231039044,157.98761039111113,153.49999999997112
ITE_SDR,10,0.0019066870503259674,157.98761039111113,153.49999999997112
MITE_2M,10,0.00010227514246253425,384.24881936734346,256.4999999999292
MITE_SDR,10,0.00010219503081866292,384.24881936734346,256.4999999999292
Oracle,10,,391.1542373713659,257.49999999992514
RAND,11,,217.66836220548066,174.99999999994614
ITE_best,11,0.0021282430852511613,59.57352251546024,160.49999999992502
ITE_2M,11,0.0021276631767004972,59.57352251546024,160.49999999992502
ITE_SDR,11,0.002127696977171905,59.57352251546024,160.49999999992502
MITE_2M,11,0.00014488871839316334,283.3174943270294,253.49999999992104
MITE_SDR,11,0.0001450776363039296,283.3174943270294,253.49999999992104
Oracle,11,,313.42152511652523,257.4999999999246
RAND,12,,167.26209871874016,174.99999999994654
ITE_best,12,0.0014876482337264055,160.3112210606156,148.49999999996328
ITE_2M,12,0.001487313896139245,160.3112210606156,148.49999999996328
ITE_SDR,12,0.0014872664991108103,160.3112210606156,148.49999999996328
MITE_2M,12,0.00010762265550311779,316.0918483347746,255.4999999999287
MITE_SDR,12,0.00010718569454310075,316.0918483347746,255.4999999999287
Oracle,12,,334.1176923628876,257.49999999992536
RAND,13,,220.4853916400789,174.9999999999464
ITE_best,13,0.0018923874363080406,183.05495273721527,178.49999999997783
ITE_2M,13,0.001891889768981245,183.05495273721527,178.49999999997783
ITE_SDR,13,0.0018919400285350653,183.05495273721527,178.49999999997783
MITE_2M,13,0.00012131886059934982,304.58275065123564,256.49999999992536
MITE_SDR,13,0.00012111397811759514,304.58275065123564,256.49999999992536
Oracle,13,,328.2147802337561,257.49999999992514
RAND,14,,336.3998967822481,174.99999999994662
ITE_best,14,0.00208492181696112,268.8108742334611,181.4999999999561
