method,split,RMSE,AUUC,AUUC_thout
RAND,0,,3487.1171283223302,3499.999999998772
ITE_best,0,0.0012324315429864151,5188.196224269656,5149.999999998395
ITE_2M,0,0.0012353316700851114,5188.196224269656,5149.999999998395
ITE_SDR,0,0.0012355296708583023,5188.196224269656,5149.999999998395
MITE_2M,0,0.0003558741940435226,5188.196224269656,5149.999999998395
MITE_SDR,0,0.00036211587997817544,5188.196224269656,5149.999999998395
Oracle,0,,5188.196224269656,5149.999999998395
RAND,1,,3323.0874822703554,3499.999999998783
ITE_best,1,0.001750018893981664,5053.296253715401,5149.999999998415
ITE_2M,1,0.0017510972533856923,5053.296253715401,5149.999999998415
ITE_SDR,1,0.0017485404639113315,5053.296253715401,5149.999999998415
MITE_2M,1,0.0003010200395861779,5053.296253715401,5149.999999998415
MITE_SDR,1,0.0003004594579319762,5053.296253715401,5149.999999998415
Oracle,1,,5053.296253715401,5149.999999998415
RAND,2,,3253.6181613990047,3499.9999999987813
ITE_best,2,0.00127073358220115,4837.686375613894,5149.999999998411
ITE_2M,2,0.0012691919014705903,4837.686375613894,5149.999999998411
ITE_SDR,2,0.0012699646817885104,4837.686375613894,5149.999999998411
MITE_2M,2,0.00027667020804712756,4837.686375613894,5149.999999998411
MITE_SDR,2,0.0002771448548993902,4837.686375613894,5149.999999998411
Oracle,2,,4837.686375613894,5149.999999998411
RAND,3,,3562.2953891210527,3499.999999998774
ITE_best,3,0.0016481479338914574,5269.784287251769,5149.999999998399
ITE_2M,3,0.0016497534596797171,5269.784287251769,5149.999999998399
ITE_SDR,3,0.001651010656539747,5269.784287251769,5149.999999998399
MITE_2M,3,0.0005090752129403628,5269.784287251769,5149.999999998399
MITE_SDR,3,0.0005128875101462581,5269.784287251769,5149.999999998399
Oracle,3,,5269.784287251769,5149.999999998399
RAND,4,,3462.033769623551,3499.9999999987836
ITE_best,4,0.0019248222280931918,5225.124806304865,5109.999999998442
ITE_2M,4,0.001927105095670431,5225.124806304865,5109.999999998442
ITE_SDR,4,0.0019248907167944771,5225.124806304865,5109.999999998442
MITE_2M,4,0.00032900190442116436,5264.127935455034,5149.999999998415
MITE_SDR,4,0.0003372786601482417,5264.127935455034,5149.999999998415
Oracle,4,,5264.127935455034,5149.999999998415
RAND,5,,3458.179021040585,3499.9999999987745
ITE_best,5,0.0016179194525015115,5024.88486182319,5129.999999998413
ITE_2M,5,0.0016169592502512735,5024.88486182319,5129.999999998413
ITE_SDR,5,0.0016194812776691976,5024.88486182319,5129.999999998413
MITE_2M,5,0.0004921793892789585,5055.926807348985,5149.999999998403
MITE_SDR,5,0.0004947470116460571,5055.926807348985,5149.999999998403
Oracle,5,,5055.926807348985,5149.999999998403
RAND,6,,3263.5524143082293,3499.999999998772
ITE_best,6,0.001925662127750389,5021.749062902214,5129.999999998414
ITE_2M,6,0.0019271614792009473,5021.749062902214,5129.999999998414
ITE_SDR,6,0.0019239341376427834,5021.749062902214,5129.999999998414
MITE_2M,6,0.00039302780525718537,5038.212481055891,5149.999999998397
MITE_SDR,6,0.0003964822471149889,5038.212481055891,5149.999999998397
Oracle,6,,5038.212481055891,5149.999999998397
RAND,7,,3455.2272465714013,3499.9999999987845
ITE_best,7,0.0017060634126287724,5203.624056149357,5129.999999998256
ITE_2M,7,0.0017085332317581055,5203.624056149357,5129.999999998256
ITE_SDR,7,0.0017067503177962036,5203.624056149357,5129.999999998256
MITE_2M,7,0.0004881008749088378,5263.445573832428,5149.999999998412
MITE_SDR,7,0.0004919211272169476,5263.445573832428,5149.999999998412
Oracle,7,,5263.445573832428,5149.999999998412
RAND,8,,3359.939712267642,3499.999999998786
ITE_best,8,0.0015351471967822864,4999.090696961929,5149.999999998416
ITE_2M,8,0.0015350821172623904,4999.090696961929,5149.999999998416
ITE_SDR,8,0.0015346848971146251,4999.090696961929,5149.999999998416
MITE_2M,8,0.0005047274760895989,4999.090696961929,5149.999999998416
MITE_SDR,8,0.0005014498484632334,4999.090696961929,5149.999999998416
Oracle,8,,4999.090696961929,5149.999999998416
RAND,9,,3504.814839711271,3499.999999998772
ITE_best,9,0.0018780451848206198,5049.125192451527,5129.999999998407
ITE_2M,9,0.0018775672515990436,5049.125192451527,5129.999999998407
ITE_SDR,9,0.0018795937520036663,5049.125192451527,5129.999999998407
MITE_2M,9,0.0004905582766219639,5074.77730596611,5149.999999998397
MITE_SDR,9,0.0004966759443317937,5074.77730596611,5149.999999998397
Oracle,9,,5074.77730596611,5149.999999998397
RAND,10,,3478.2310095152643,3499.9999999987695
ITE_best,10,0.0016927403563340344,5037.739405139131,5149.999999998394
ITE_2M,10,0.0016922108442865313,5037.739405139131,5149.999999998394
ITE_SDR,10,0.0016900411425126477,5037.739405139131,5149.999999998394
MITE_2M,10,0.0005612019894308973,5037.739405139131,5149.999999998394
MITE_SDR,10,0.0005659171353412851,5037.739405139131,5149.999999998394
Oracle,10,,5037.739405139131,5149.999999998394
RAND,11,,3393.572424469392,3499.9999999987767
ITE_best,11,0.0015758236872133672,5114.083220138768,5149.999999998404
ITE_2M,11,0.00157714871683225,5114.083220138768,5149.999999998404
ITE_SDR,11,0.0015782432310208604,5114.083220138768,5149.999999998404
MITE_2M,11,0.00028645814237763156,5114.083220138768,5149.999999998404
MITE_SDR,11,0.00028899266890238315,5114.083220138768,5149.999999998404
Oracle,11,,5114.083220138768,5149.999999998404
RAND,12,,3332.2491579120215,3499.999999998776
ITE_best,12,0.0012800979082778197,4951.24375254563,5149.999999998401
ITE_2M,12,0.00127946589200909,4951.24375254563,5149.999999998401
ITE_SDR,12,0.0012802010205441138,4951.24375254563,5149.999999998401
MITE_2M,12,0.00038266931740101745,4951.24375254563,5149.999999998401
MITE_SDR,12,0.00038755471000053294,4951.24375254563,5149.999999998401
Oracle,12,,4951.24375254563,5149.999999998401
RAND,13,,3701.577064892328,3499.9999999987804
ITE_best,13,0.0022541677418237076,5439.269574738311,5129.999999998422
ITE_2M,13,0.002256881707271906,5439.269574738311,5129.999999998422
ITE_SDR,13,0.0022524664399945216,5439.269574738311,5129.999999998422
MITE_2M,13,0.0005523637616982098,5448.884036599251,5149.999999998407
MITE_SDR,13,0.0005525818199941745,5448.884036599251,5149.999999998407
Oracle,13,,5448.884036599251,5149.999999998407
RAND,14,,3294.7033745646695,3499.999999998773
ITE_best,14,0.001534870844693276,4845.946910602998,5149.9999999983975
ITE_2M,14,0.0015355077697367585,4845.946910602998,5149.9999999983975
ITE_SDR,14,0.0015331433659256496,4845.946910602998,5149.9999999983975
MITE_2M,14,0.0004000363670921272,4845.946910602998,5149.9999999983975
MITE_SDR,14,0.0004041083952277864,4845.946910602998,5149.9999999983975
Oracle,14,,4845.946910602998,5149.9999999983975
RAND,15,,3468.1882490089993,3499.999999998775
ITE_best,15,0.0014201531391250094,5104.448543457949,5149.999999998399
ITE_2M,15,0.0014187817418055357,5104.448543457949,5149.999999998399
ITE_SDR,15,0.0014169937496322123,5104.448543457949,5149.999999998399
MITE_2M,15,0.0006116960677835122,5104.448543457949,5149.999999998399
MITE_SDR,15,0.0006139523314462725,5104.448543457949,5149.999999998399
Oracle,15,,5104.448543457949,5149.999999998399
RAND,16,,3242.4655486547417,3499.9999999987776
ITE_best,16,0.00208743574151612,4973.026526148422,5129.999999998406
ITE_2M,16,0.00208903659741321,4973.026526148422,5129.999999998406
ITE_SDR,16,0.00208452558847933,4973.026526148422,5129.999999998406
MITE_2M,16,0.0005245110501775202,5016.439270106065,5149.999999998404
MITE_SDR,16,0.0005299003696300164,5016.439270106065,5149.999999998404
Oracle,16,,5016.439270106065,5149.999999998404
RAND,17,,3233.930689541987,3499.999999998782
ITE_best,17,0.0015603713573105397,4849.467491666175,5149.999999998414
ITE_2M,17,0.001560455801041128,4849.467491666175,5149.999999998414
ITE_SDR,17,0.0015588364633555563,4849.467491666175,5149.999999998414
MITE_2M,17,0.0006165108823987749,4849.467491666175,5149.999999998414
MITE_SDR,17,0.0006205792759147557,4849.467491666175,5149.999999998414
Oracle,17,,4849.467491666175,5149.999999998414
RAND,18,,3368.1421068328236,3499.9999999987795
ITE_best,18,0.001687539611410973,5102.345461408031,5149.9999999984075
ITE_2M,18,0.0016893687512959431,5102.345461408031,5149.9999999984075
ITE_SDR,18,0.0016869255262787974,5102.345461408031,5149.9999999984075
MITE_2M,18,0.0004533102058816646,5102.345461408031,5149.9999999984075
MITE_SDR,18,0.0004522524638710032,5102.345461408031,5149.9999999984075
Oracle,18,,5102.345461408031,5149.9999999984075
RAND,19,,3333.6340877228104,3499.999999998782
