method,split,RMSE,AUUC,AUUC_thout
RAND,0,,509.8799833621306,262.49999999992247
ITE_best,0,0.0021912196186379637,359.9877513077685,242.25000000001168
ITE_2M,0,0.002190759171010374,359.9877513077685,242.25000000001168
ITE_SDR,0,0.0021892926203551004,359.9877513077685,242.25000000001168
MITE_2M,0,0.00022672416078451253,689.211700962678,383.2499999998474
MITE_SDR,0,0.00022680175006837335,689.211700962678,383.2499999998474
Oracle,0,,701.8508177352331,386.2499999998677
RAND,1,,401.01368036368876,262.4999999999233
ITE_best,1,0.002263804626172053,274.4670056296543,296.24999999998397
ITE_2M,1,0.002263099309246471,274.4670056296543,296.24999999998397
ITE_SDR,1,0.002263258483401706,274.4670056296543,296.24999999998397
MITE_2M,1,0.00013147769241555468,487.16018514294456,384.74999999987386
MITE_SDR,1,0.00012889603489325786,487.16018514294456,384.74999999987386
Oracle,1,,509.7585535200743,386.2499999998691
RAND,2,,103.89149611715038,262.4999999999229
ITE_best,2,0.0016260288055399352,87.86239704716758,281.2499999999425
ITE_2M,2,0.0016259178990722363,87.86239704716758,281.2499999999425
ITE_SDR,2,0.0016255324097882047,87.86239704716758,281.2499999999425
MITE_2M,2,0.00021194049799685044,232.2541359929456,383.2499999998597
MITE_SDR,2,0.0002095584811120823,232.2541359929456,383.2499999998597
Oracle,2,,251.85842148721767,386.2499999998684
RAND,3,,433.95793128018704,262.49999999992303
ITE_best,3,0.002078645976655984,252.19933863159466,263.24999999996027
ITE_2M,3,0.002078109749411408,252.19933863159466,263.24999999996027
ITE_SDR,3,0.0020772449038760177,252.19933863159466,263.24999999996027
MITE_2M,3,0.00022909339443473535,543.648953363403,383.24999999984817
MITE_SDR,3,0.00023303137456223008,543.648953363403,383.24999999984817
Oracle,3,,562.7516040547656,386.2499999998686
RAND,4,,345.04280404460224,262.49999999992275
ITE_best,4,0.0020418775789980597,266.2711620803485,258.7500000000241
ITE_2M,4,0.002041331667904071,266.2711620803485,258.7500000000241
ITE_SDR,4,0.002041432703838771,266.2711620803485,258.7500000000241
MITE_2M,4,0.00016278477574287772,491.51684023408615,383.24999999986414
MITE_SDR,4,0.00016461461951594226,491.51684023408615,383.24999999986414
Oracle,4,,489.2806818177271,386.24999999986835
RAND,5,,458.38612585064766,262.4999999999228
ITE_best,5,0.0014774543905199489,409.78582624065905,314.24999999995885
ITE_2M,5,0.0014771432302045926,409.78582624065905,314.24999999995885
ITE_SDR,5,0.0014771194808763921,409.78582624065905,314.24999999995885
MITE_2M,5,0.0001503420717190949,473.0446006343799,384.74999999985454
MITE_SDR,5,0.00015222922149176474,473.0446006343799,384.74999999985454
Oracle,5,,492.59686016213925,386.249999999868
RAND,6,,355.83401479887107,262.49999999992224
ITE_best,6,0.0012269889975974099,283.50450384333936,363.7499999998911
ITE_2M,6,0.0012248131409434964,283.50450384333936,363.7499999998911
ITE_SDR,6,0.0012265407581960757,283.50450384333936,363.7499999998911
MITE_2M,6,0.0001475601020128459,347.0806909047884,384.749999999854
MITE_SDR,6,0.00014907073693678417,347.0806909047884,384.749999999854
Oracle,6,,361.1370536897221,386.24999999986767
RAND,7,,334.36494525010494,262.49999999992235
ITE_best,7,0.000967245064932374,396.72205501006727,311.2499999999734
ITE_2M,7,0.0009655721599530931,396.72205501006727,311.2499999999734
ITE_SDR,7,0.0009670377068510726,396.72205501006727,311.2499999999734
MITE_2M,7,0.00017241053356166212,436.9933918872494,383.24999999984703
