method,split,RMSE,AUUC,AUUC_thout
RAND,0,,2819.7858169736282,2624.999999998723
ITE_best,0,0.0015231826365480717,4093.617885618241,3862.499999997995
ITE_2M,0,0.001525383820546636,4093.617885618241,3862.499999997995
ITE_SDR,0,0.0015271133234516583,4093.617885618241,3862.499999997995
MITE_2M,0,0.000305444207602039,4093.617885618241,3862.499999997995
MITE_SDR,0,0.0003024282778782239,4093.617885618241,3862.499999997995
Oracle,0,,4093.617885618241,3862.499999997995
RAND,1,,2591.696614585937,2624.999999998725
ITE_best,1,0.0009827254749233858,3820.4548967789947,3862.4999999979977
ITE_2M,1,0.0009813360105753617,3820.4548967789947,3862.4999999979977
ITE_SDR,1,0.0009794219017953965,3820.4548967789947,3862.4999999979977
MITE_2M,1,0.00036311296578312217,3820.4548967789947,3862.4999999979977
MITE_SDR,1,0.0003575168411738772,3820.4548967789947,3862.4999999979977
Oracle,1,,3820.4548967789947,3862.4999999979977
RAND,2,,2692.596977745601,2624.999999998724
ITE_best,2,0.001423281603640917,3969.57085362759,3862.499999997988
ITE_2M,2,0.0014224517965507224,3969.57085362759,3862.499999997988
ITE_SDR,2,0.0014234987229894086,3969.57085362759,3862.499999997988
MITE_2M,2,0.0006001403876641166,3969.57085362759,3862.499999997988
MITE_SDR,2,0.0005938399334517701,3969.57085362759,3862.499999997988
Oracle,2,,3969.57085362759,3862.499999997988
RAND,3,,2516.5696882902084,2624.9999999987135
ITE_best,3,0.001485111678814669,3770.4529451973017,3862.4999999979746
ITE_2M,3,0.0014840314912495758,3770.4529451973017,3862.4999999979746
ITE_SDR,3,0.0014824299411619636,3770.4529451973017,3862.4999999979746
MITE_2M,3,0.0003462347093489009,3770.4529451973017,3862.4999999979746
MITE_SDR,3,0.00033600095016674057,3770.4529451973017,3862.4999999979746
Oracle,3,,3770.4529451973017,3862.4999999979746
RAND,4,,2663.5444921442104,2624.9999999987276
ITE_best,4,0.0015386688029439103,3888.0640088655427,3862.499999997996
ITE_2M,4,0.0015373793012158007,3888.0640088655427,3862.499999997996
ITE_SDR,4,0.001539122601690061,3888.0640088655427,3862.499999997996
MITE_2M,4,0.0004697009233648629,3888.0640088655427,3862.499999997996
MITE_SDR,4,0.00046273095121012847,3888.0640088655427,3862.499999997996
Oracle,4,,3888.0640088655427,3862.499999997996
RAND,5,,2770.2393859112817,2624.9999999987276
ITE_best,5,0.0012686595186271739,4087.0965810673642,3862.499999997997
ITE_2M,5,0.0012688911848642843,4087.0965810673642,3862.499999997997
ITE_SDR,5,0.0012705127919821707,4087.0965810673642,3862.499999997997
MITE_2M,5,0.00035395962619233945,4087.0965810673642,3862.499999997997
MITE_SDR,5,0.0003476518916570581,4087.0965810673642,3862.499999997997
Oracle,5,,4087.0965810673642,3862.499999997997
RAND,6,,2853.8101631159334,2624.999999998718
ITE_best,6,0.0019212333907740343,4086.8751728858865,3847.4999999979896
ITE_2M,6,0.0019201203669763874,4086.8751728858865,3847.4999999979896
ITE_SDR,6,0.0019207177183832858,4086.8751728858865,3847.4999999979896
MITE_2M,6,0.0004420590339021053,4112.4489498951725,3862.49999999798
MITE_SDR,6,0.0004390639514165268,4112.4489498951725,3862.49999999798
Oracle,6,,4112.4489498951725,3862.49999999798
RAND,7,,2663.7975355740346,2624.9999999987353
ITE_best,7,0.0017372057806206071,3958.807120038403,3847.4999999979295
ITE_2M,7,0.001737294312312055,3958.807120038403,3847.4999999979295
ITE_SDR,7,0.0017385711218595261,3958.807120038403,3847.4999999979295
MITE_2M,7,0.0005390872820348364,3981.515224638474,3862.4999999980105
