method,split,RMSE,AUUC,AUUC_thout
RAND,0,,43522.47428237797,43749.99999999619
ITE_best,0,0.001669023249607583,64142.56209764388,64374.99999999704
ITE_2M,0,0.0016764777622082633,64142.56209764388,64374.99999999704
ITE_SDR,0,0.0016835296015653436,64142.56209764388,64374.99999999704
MITE_2M,0,0.0011812726242599447,64142.56209764388,64374.99999999704
MITE_SDR,0,0.0011853768892078618,64142.56209764388,64374.99999999704
Oracle,0,,64142.56209764388,64374.99999999704
RAND,1,,43820.55375407137,43749.99999999631
ITE_best,1,0.0018588367003256378,64405.966246153745,64374.99999999727
ITE_2M,1,0.0018591119054305722,64405.966246153745,64374.99999999727
ITE_SDR,1,0.001871231897207518,64405.966246153745,64374.99999999727
MITE_2M,1,0.001633716795894112,64405.966246153745,64374.99999999727
MITE_SDR,1,0.001645569504125553,64405.966246153745,64374.99999999727
Oracle,1,,64405.966246153745,64374.99999999727
RAND,2,,43281.161511690894,43749.999999996304
ITE_best,2,0.001294753104215226,63811.13414700896,64374.99999999726
ITE_2M,2,0.0012922583401825411,63811.13414700896,64374.99999999726
ITE_SDR,2,0.0012871937962327207,63811.13414700896,64374.99999999726
MITE_2M,2,0.0006593473496588362,63811.13414700896,64374.99999999726
MITE_SDR,2,0.0006589062360457225,63811.13414700896,64374.99999999726
Oracle,2,,63811.13414700896,64374.99999999726
RAND,3,,43773.40600863176,43749.99999999626
ITE_best,3,0.0031957219658992797,64524.27503079291,64374.999999997184
ITE_2M,3,0.0032066939673146416,64524.27503079291,64374.999999997184
ITE_SDR,3,0.003201880935942299,64524.27503079291,64374.999999997184
MITE_2M,3,0.0022937423322070103,64524.27503079291,64374.999999997184
MITE_SDR,3,0.0022949494753163467,64524.27503079291,64374.999999997184
Oracle,3,,64524.27503079291,64374.999999997184
RAND,4,,43730.01189036276,43749.99999999626
ITE_best,4,0.001653892555572038,64222.695639366044,64374.999999997264
ITE_2M,4,0.0016507860309582078,64222.695639366044,64374.999999997264
ITE_SDR,4,0.0016633771146131193,64222.695639366044,64374.999999997264
MITE_2M,4,0.0017166770153575137,64222.695639366044,64374.999999997264
MITE_SDR,4,0.0017236409022010754,64222.695639366044,64374.999999997264
Oracle,4,,64222.695639366044,64374.999999997264
RAND,5,,43563.83655317694,43749.99999999605
ITE_best,5,0.002186091974966385,64309.59550841603,64374.99999999681
ITE_2M,5,0.0021990143248924966,64309.59550841603,64374.99999999681
ITE_SDR,5,0.002202175954575387,64309.59550841603,64374.99999999681
MITE_2M,5,0.0015038035036355104,64309.59550841603,64374.99999999681
MITE_SDR,5,0.0015089573893956316,64309.59550841603,64374.99999999681
Oracle,5,,64309.59550841603,64374.99999999681
RAND,6,,43507.1641546828,43749.99999999628
ITE_best,6,0.0019768503030107845,64005.41467002461,64374.99999999721
ITE_2M,6,0.001986863983196853,64005.41467002461,64374.99999999721
ITE_SDR,6,0.0019870513771463125,64005.41467002461,64374.99999999721
MITE_2M,6,0.001073347201667837,64005.41467002461,64374.99999999721
MITE_SDR,6,0.0010799523690521314,64005.41467002461,64374.99999999721
Oracle,6,,64005.41467002461,64374.99999999721
RAND,7,,43703.69588593174,43749.99999999639
ITE_best,7,0.002992099707838711,64156.095388326044,64374.99999999738
ITE_2M,7,0.0029897520893650063,64156.095388326044,64374.99999999738
ITE_SDR,7,0.0029953376539721896,64156.095388326044,64374.99999999738
MITE_2M,7,0.0019732690164274767,64156.095388326044,64374.99999999738
MITE_SDR,7,0.0019797240581851967,64156.095388326044,64374.99999999738
Oracle,7,,64156.095388326044,64374.99999999738
RAND,8,,43612.63782728379,43749.99999999645
ITE_best,8,0.0020702745642179918,64094.82997095227,64374.999999997424
ITE_2M,8,0.002066472942761042,64094.82997095227,64374.999999997424
ITE_SDR,8,0.0020731041575873226,64094.82997095227,64374.999999997424
MITE_2M,8,0.0014421270038016505,64094.82997095227,64374.999999997424
MITE_SDR,8,0.0014487619396733415,64094.82997095227,64374.999999997424
Oracle,8,,64094.82997095227,64374.999999997424
RAND,9,,43610.925333621264,43749.99999999607
ITE_best,9,0.002499119871715635,64132.33795795233,64374.9999999968
ITE_2M,9,0.0024935591527868706,64132.33795795233,64374.9999999968
ITE_SDR,9,0.0025087276735643984,64132.33795795233,64374.9999999968
MITE_2M,9,0.0016578816704925434,64132.33795795233,64374.9999999968
MITE_SDR,9,0.0016618967818600526,64132.33795795233,64374.9999999968
Oracle,9,,64132.33795795233,64374.9999999968
RAND,10,,43306.191531408884,43749.999999996224
ITE_best,10,0.0016398428170778846,63809.454274870615,64374.99999999715
ITE_2M,10,0.0016345358759203015,63809.454274870615,64374.99999999715
ITE_SDR,10,0.0016341895928626154,63809.454274870615,64374.99999999715
MITE_2M,10,0.0010839248043928514,63809.454274870615,64374.99999999715
MITE_SDR,10,0.001078021866729215,63809.454274870615,64374.99999999715
Oracle,10,,63809.454274870615,64374.99999999715
RAND,11,,43642.57810552389,43749.99999999638
ITE_best,11,0.001627487744117393,64179.76499436684,64374.99999999738
ITE_2M,11,0.001633326422641412,64179.76499436684,64374.99999999738
ITE_SDR,11,0.0016325273342460238,64179.76499436684,64374.99999999738
MITE_2M,11,0.0013857544976664947,64179.76499436684,64374.99999999738
MITE_SDR,11,0.0013882562942047682,64179.76499436684,64374.99999999738
Oracle,11,,64179.76499436684,64374.99999999738
RAND,12,,43559.490618686614,43749.99999999645
ITE_best,12,0.0012521845369710299,64216.81392574667,64374.99999999747
ITE_2M,12,0.0012592345483888494,64216.81392574667,64374.99999999747
ITE_SDR,12,0.001262804209536295,64216.81392574667,64374.99999999747
MITE_2M,12,0.0014722900490412385,64216.81392574667,64374.99999999747
MITE_SDR,12,0.001471884804578468,64216.81392574667,64374.99999999747
Oracle,12,,64216.81392574667,64374.99999999747
RAND,13,,43623.53936909464,43749.99999999622
ITE_best,13,0.0026041153623841155,64209.75785924444,64374.99999999707
ITE_2M,13,0.0026073892780875446,64209.75785924444,64374.99999999707
ITE_SDR,13,0.002614663399533221,64209.75785924444,64374.99999999707
MITE_2M,13,0.0017943991984989294,64209.75785924444,64374.99999999707
MITE_SDR,13,0.001800768924089283,64209.75785924444,64374.99999999707
Oracle,13,,64209.75785924444,64374.99999999707
RAND,14,,43707.38363035076,43749.99999999601
ITE_best,14,0.001952110918017306,64397.84910265281,64374.99999999686
ITE_2M,14,0.0019579313468827365,64397.84910265281,64374.99999999686
ITE_SDR,14,0.0019664407835522494,64397.84910265281,64374.99999999686
MITE_2M,14,0.001748650579124451,64397.84910265281,64374.99999999686
MITE_SDR,14,0.001756513448770631,64397.84910265281,64374.99999999686
Oracle,14,,64397.84910265281,64374.99999999686
RAND,15,,43439.56696691716,43749.99999999633
ITE_best,15,0.0013823485858717138,64002.66100215875,64374.999999997286
ITE_2M,15,0.0013818019198292817,64002.66100215875,64374.999999997286
ITE_SDR,15,0.0013944626504079594,64002.66100215875,64374.999999997286
MITE_2M,15,0.0013104604210155085,64002.66100215875,64374.999999997286
MITE_SDR,15,0.0013149199240618508,64002.66100215875,64374.999999997286
Oracle,15,,64002.66100215875,64374.999999997286
RAND,16,,43751.11355441745,43749.99999999661
ITE_best,16,0.0020537099326074777,64283.336104396265,64374.99999999774
ITE_2M,16,0.0020522468389681673,64283.336104396265,64374.99999999774
ITE_SDR,16,0.0020671972926938455,64283.336104396265,64374.99999999774
MITE_2M,16,0.001239401114601417,64283.336104396265,64374.99999999774
MITE_SDR,16,0.001246889647484248,64283.336104396265,64374.99999999774
Oracle,16,,64283.336104396265,64374.99999999774
RAND,17,,43544.21339045914,43749.9999999964
ITE_best,17,0.001097646233455341,64016.02779805604,64374.999999997366
ITE_2M,17,0.0010909802523348816,64016.02779805604,64374.999999997366
ITE_SDR,17,0.0011029320477526268,64016.02779805604,64374.999999997366
MITE_2M,17,0.001279022838111949,64016.02779805604,64374.999999997366
MITE_SDR,17,0.001288816149017704,64016.02779805604,64374.999999997366
Oracle,17,,64016.02779805604,64374.999999997366
RAND,18,,43643.9913773465,43749.999999996086
ITE_best,18,0.0017473585857641872,64256.81189302318,64374.999999996864
ITE_2M,18,0.0017495365770401287,64256.81189302318,64374.999999996864
ITE_SDR,18,0.0017570889059226897,64256.81189302318,64374.999999996864
MITE_2M,18,0.001301098271542241,64256.81189302318,64374.999999996864
MITE_SDR,18,0.0013045214299290274,64256.81189302318,64374.999999996864
Oracle,18,,64256.81189302318,64374.999999996864
RAND,19,,43532.753491643874,43749.999999996406
ITE_best,19,0.0016004710191762802,64067.89035530305,64374.999999997395
ITE_2M,19,0.0015944357191012767,64067.89035530305,64374.999999997395
ITE_SDR,19,0.0016112607117453393,64067.89035530305,64374.999999997395
MITE_2M,19,0.0010675028373233445,64067.89035530305,64374.999999997395
MITE_SDR,19,0.0010671190811582002,64067.89035530305,64374.999999997395
Oracle,19,,64067.89035530305,64374.999999997395
RAND,20,,43346.31274884472,43749.99999999613
ITE_best,20,0.0017247121991477501,63755.316293415344,64374.999999996864
ITE_2M,20,0.0017179893616075586,63755.316293415344,64374.999999996864
