method,split,RMSE,AUUC,AUUC_thout
RAND,0,,8558.861468029088,8749.99999999769
ITE_best,0,0.0022885989065351683,12822.701950583214,12874.999999997059
ITE_2M,0,0.0022922758194959675,12822.701950583214,12874.999999997059
ITE_SDR,0,0.0022923562069472113,12822.701950583214,12874.999999997059
MITE_2M,0,0.0007485426241043665,12822.701950583214,12874.999999997059
MITE_SDR,0,0.0007432067734161242,12822.701950583214,12874.999999997059
Oracle,0,,12822.701950583214,12874.999999997059
RAND,1,,8605.405821087115,8749.999999997715
ITE_best,1,0.0026158120314925598,12679.226490175306,12874.999999997097
ITE_2M,1,0.00261595138245698,12679.226490175306,12874.999999997097
ITE_SDR,1,0.0026150983381734156,12679.226490175306,12874.999999997097
MITE_2M,1,0.0008975923088861958,12679.226490175306,12874.999999997097
MITE_SDR,1,0.0008927866213777864,12679.226490175306,12874.999999997097
Oracle,1,,12679.226490175306,12874.999999997097
RAND,2,,8710.58319606751,8749.99999999769
ITE_best,2,0.0021252317195221797,12694.76049887915,12874.999999997062
ITE_2M,2,0.0021250965868809956,12694.76049887915,12874.999999997062
ITE_SDR,2,0.0021246745108334316,12694.76049887915,12874.999999997062
MITE_2M,2,0.0006687563371616433,12694.76049887915,12874.999999997062
MITE_SDR,2,0.0006642659101046478,12694.76049887915,12874.999999997062
Oracle,2,,12694.76049887915,12874.999999997062
RAND,3,,8690.547162270184,8749.99999999769
ITE_best,3,0.0018315169043507805,12819.30192742303,12874.999999997057
ITE_2M,3,0.0018342664859097642,12819.30192742303,12874.999999997057
ITE_SDR,3,0.0018348779493831144,12819.30192742303,12874.999999997057
MITE_2M,3,0.0006141785734536188,12819.30192742303,12874.999999997057
MITE_SDR,3,0.0006134555108207374,12819.30192742303,12874.999999997057
Oracle,3,,12819.30192742303,12874.999999997057
RAND,4,,8731.185626241513,8749.999999997714
ITE_best,4,0.001986904621808385,12752.75281978025,12874.999999997091
ITE_2M,4,0.001987413556357344,12752.75281978025,12874.999999997091
ITE_SDR,4,0.0019860623011764764,12752.75281978025,12874.999999997091
MITE_2M,4,0.000740724776374649,12752.75281978025,12874.999999997091
MITE_SDR,4,0.0007304937881048727,12752.75281978025,12874.999999997091
Oracle,4,,12752.75281978025,12874.999999997091
RAND,5,,8637.605868200106,8749.999999997719
