method,split,RMSE,AUUC,AUUC_thout
RAND,0,,185.16868408904338,87.49999999997326
ITE_best,0,0.0019577932677112627,252.09657255490885,99.74999999996635
ITE_2M,0,0.0019573023189100084,252.09657255490885,99.74999999996635
ITE_SDR,0,0.0019557842697621067,252.09657255490885,99.74999999996635
MITE_2M,0,7.906676640574429e-05,230.6928160273381,128.74999999996263
MITE_SDR,0,9.190949571142565e-05,230.6928160273381,128.74999999996263
Oracle,0,,230.6928160273381,128.74999999996263
RAND,1,,-89.16300511963709,87.49999999997308
ITE_best,1,0.001532398241581367,-45.32474037591618,91.24999999996537
ITE_2M,1,0.0015319730933064778,-45.32474037591618,91.24999999996537
ITE_SDR,1,0.0015320319166644723,-45.32474037591618,91.24999999996537
MITE_2M,1,8.859810297999146e-05,67.76965204372968,126.74999999996375
MITE_SDR,1,8.869107150362185e-05,67.76965204372968,126.74999999996375
Oracle,1,,33.9569360892617,128.74999999996243
RAND,2,,213.74323838045166,87.49999999997318
ITE_best,2,0.0022563598110078545,283.05227319397227,100.24999999995174
ITE_2M,2,0.0022557910010987834,283.05227319397227,100.24999999995174
ITE_SDR,2,0.0022518567934102884,283.05227319397227,100.24999999995174
MITE_2M,2,7.477723739017328e-05,268.07034703941844,126.74999999996689
MITE_SDR,2,7.955979968911622e-05,268.07034703941844,126.74999999996689
Oracle,2,,276.99356048904775,128.74999999996254
RAND,3,,-28.43919391038071,87.49999999997321
ITE_best,3,0.0015052004126138861,29.02402617081985,105.24999999997515
ITE_2M,3,0.0015048196873513994,29.02402617081985,105.24999999997515
ITE_SDR,3,0.0015048003657203459,29.02402617081985,105.24999999997515
MITE_2M,3,9.115664704851445e-05,-11.882229327581596,126.74999999996504
MITE_SDR,3,8.961558663209116e-05,-5.150324705393766,127.7499999999637
Oracle,3,,-2.1701931146962243,128.74999999996263
RAND,4,,-97.84332538128729,87.49999999997316
ITE_best,4,0.0021532941400018283,-53.97155653095562,91.74999999996787
ITE_2M,4,0.002152538867885297,-53.97155653095562,91.74999999996787
ITE_SDR,4,0.002152633425633522,-53.97155653095562,91.74999999996787
MITE_2M,4,6.566468465188273e-05,-4.94020713603016,128.74999999996257
MITE_SDR,4,7.019889402581952e-05,-4.94020713603016,128.74999999996257
Oracle,4,,-4.94020713603016,128.74999999996257
RAND,5,,-8.628074221785937,87.49999999997313
ITE_best,5,0.0016864534633968442,-12.914914251659521,98.7499999999709
ITE_2M,5,0.001686200748686482,-12.914914251659521,98.7499999999709
ITE_SDR,5,0.001685957036115405,-12.914914251659521,98.7499999999709
MITE_2M,5,6.0837171301571554e-05,51.23294122856819,127.74999999996241
MITE_SDR,5,5.8824276727272375e-05,51.23294122856819,127.74999999996241
Oracle,5,,26.724369389996735,128.74999999996248
RAND,6,,-0.38629143667276367,87.49999999997299
ITE_best,6,0.0021440961549566784,-27.95313158486068,109.74999999996434
ITE_2M,6,0.0021433585733149187,-27.95313158486068,109.74999999996434
ITE_SDR,6,0.0021435377510098125,-27.95313158486068,109.74999999996434
MITE_2M,6,7.880654479669816e-05,-22.941077162505486,128.24999999996237
MITE_SDR,6,7.65621804906889e-05,-22.941077162505486,128.24999999996237
Oracle,6,,-36.49069846818976,128.74999999996226
RAND,7,,72.40120777826087,87.49999999997316
ITE_best,7,0.0016855115059538413,50.68586748780621,115.24999999996786
ITE_2M,7,0.001685010340365691,50.68586748780621,115.24999999996786
ITE_SDR,7,0.001685073681319458,50.68586748780621,115.24999999996786
