method,split,RMSE,AUUC,AUUC_thout
RAND,0,,7179.1304612014355,6999.9999999975535
ITE_best,0,0.0015776153526477505,10477.122033118054,10299.999999996815
ITE_2M,0,0.001576937085289326,10477.122033118054,10299.999999996815
ITE_SDR,0,0.0015764263198520287,10477.122033118054,10299.999999996815
MITE_2M,0,0.0007936237094782271,10477.122033118054,10299.999999996815
MITE_SDR,0,0.0007931187666521912,10477.122033118054,10299.999999996815
Oracle,0,,10477.122033118054,10299.999999996815
RAND,1,,7073.009764316499,6999.999999997553
ITE_best,1,0.0014164915490111753,10355.2090603705,10299.999999996811
ITE_2M,1,0.0014108331054712233,10355.2090603705,10299.999999996811
ITE_SDR,1,0.0014036394028728726,10355.2090603705,10299.999999996811
MITE_2M,1,0.0006797216350134936,10355.2090603705,10299.999999996811
MITE_SDR,1,0.0006776222098305464,10355.2090603705,10299.999999996811
Oracle,1,,10355.2090603705,10299.999999996811
RAND,2,,7136.389779428697,6999.999999997561
ITE_best,2,0.001811182750271197,10484.814205657449,10299.999999996819
ITE_2M,2,0.0018110100290786332,10484.814205657449,10299.999999996819
ITE_SDR,2,0.0018100286122045034,10484.814205657449,10299.999999996819
MITE_2M,2,0.0006179290334276107,10484.814205657449,10299.999999996819
MITE_SDR,2,0.0006148343545012123,10484.814205657449,10299.999999996819
Oracle,2,,10484.814205657449,10299.999999996819
RAND,3,,7170.8616024974,6999.99999999755
ITE_best,3,0.0022726563174371756,10590.886324279658,10299.999999996802
ITE_2M,3,0.002272997229214225,10590.886324279658,10299.999999996802
ITE_SDR,3,0.002272990113675817,10590.886324279658,10299.999999996802
MITE_2M,3,0.000930703954645906,10590.886324279658,10299.999999996802
MITE_SDR,3,0.000927821369474071,10590.886324279658,10299.999999996802
Oracle,3,,10590.886324279658,10299.999999996802
RAND,4,,7276.7011240268985,6999.9999999975535
ITE_best,4,0.002391199867098908,10661.707387035865,10299.999999996815
ITE_2M,4,0.0023911060928725443,10661.707387035865,10299.999999996815
ITE_SDR,4,0.0023911913265670355,10661.707387035865,10299.999999996815
MITE_2M,4,0.0007339607529855164,10661.707387035865,10299.999999996815
MITE_SDR,4,0.0007288160903618588,10661.707387035865,10299.999999996815
Oracle,4,,10661.707387035865,10299.999999996815
RAND,5,,7016.135504965609,6999.999999997559
ITE_best,5,0.0018424235184018225,10307.119795790875,10299.999999996819
ITE_2M,5,0.0018406434612197326,10307.119795790875,10299.999999996819
ITE_SDR,5,0.0018388956689776752,10307.119795790875,10299.999999996819
MITE_2M,5,0.00080881357476266,10307.119795790875,10299.999999996819
MITE_SDR,5,0.0008066145174702068,10307.119795790875,10299.999999996819
Oracle,5,,10307.119795790875,10299.999999996819
RAND,6,,7029.814839711271,6999.999999997569
ITE_best,6,0.002367887471395821,10366.909755180886,10299.999999996828
ITE_2M,6,0.0023670487674360874,10366.909755180886,10299.999999996828
ITE_SDR,6,0.002365820726416497,10366.909755180886,10299.999999996828
MITE_2M,6,0.0005335618538266723,10366.909755180886,10299.999999996828
MITE_SDR,6,0.0005290139251641746,10366.909755180886,10299.999999996828
Oracle,6,,10366.909755180886,10299.999999996828
RAND,7,,7070.108128172957,6999.999999997547
ITE_best,7,0.0013573524246725903,10286.486383859987,10299.999999996804
ITE_2M,7,0.0013549017056296358,10286.486383859987,10299.999999996804
ITE_SDR,7,0.0013533905873401504,10286.486383859987,10299.999999996804
MITE_2M,7,0.0006918289965940357,10286.486383859987,10299.999999996804
MITE_SDR,7,0.0006889597887417335,10286.486383859987,10299.999999996804
Oracle,7,,10286.486383859987,10299.999999996804
RAND,8,,7093.191699320127,6999.999999997548
ITE_best,8,0.0015341200300101265,10398.11739335039,10299.999999996795
ITE_2M,8,0.0015339196873047675,10398.11739335039,10299.999999996795
ITE_SDR,8,0.0015328251325810924,10398.11739335039,10299.999999996795
MITE_2M,8,0.0008215922320913767,10398.11739335039,10299.999999996795
MITE_SDR,8,0.0008180046304438887,10398.11739335039,10299.999999996795
Oracle,8,,10398.11739335039,10299.999999996795
RAND,9,,7208.9807884730835,6999.999999997555
ITE_best,9,0.0026245049910659664,10514.49186539281,10299.999999996806
ITE_2M,9,0.002623014923283823,10514.49186539281,10299.999999996806
ITE_SDR,9,0.0026227258698979647,10514.49186539281,10299.999999996806
MITE_2M,9,0.0008838961864624564,10514.49186539281,10299.999999996806
MITE_SDR,9,0.0008811595164853658,10514.49186539281,10299.999999996806
Oracle,9,,10514.49186539281,10299.999999996806
RAND,10,,7284.119522430854,6999.9999999975635
ITE_best,10,0.002310452315059206,10579.614485377231,10299.999999996815
ITE_2M,10,0.0023084539924027774,10579.614485377231,10299.999999996815
ITE_SDR,10,0.002309460397173429,10579.614485377231,10299.999999996815
MITE_2M,10,0.0007552514059976201,10579.614485377231,10299.999999996815
MITE_SDR,10,0.000754090961281185,10579.614485377231,10299.999999996815
Oracle,10,,10579.614485377231,10299.999999996815
RAND,11,,7214.771733170026,6999.999999997542
ITE_best,11,0.002127481016335256,10552.272007253254,10299.999999996788
ITE_2M,11,0.0021268379502655042,10552.272007253254,10299.999999996788
ITE_SDR,11,0.002127222864857831,10552.272007253254,10299.999999996788
MITE_2M,11,0.0006724077057966866,10552.272007253254,10299.999999996788
MITE_SDR,11,0.0006745822051453647,10552.272007253254,10299.999999996788
Oracle,11,,10552.272007253254,10299.999999996788
RAND,12,,6929.144168256978,6999.999999997557
ITE_best,12,0.002143842905701225,10249.820247593498,10299.999999996811
ITE_2M,12,0.002142463160189221,10249.820247593498,10299.999999996811
ITE_SDR,12,0.00214076174538944,10249.820247593498,10299.999999996811
MITE_2M,12,0.0008248243816603227,10249.820247593498,10299.999999996811
MITE_SDR,12,0.000822179959750716,10249.820247593498,10299.999999996811
Oracle,12,,10249.820247593498,10299.999999996811
RAND,13,,7037.935913724596,6999.999999997559
ITE_best,13,0.002582876592631196,10383.168760954575,10299.999999996811
ITE_2M,13,0.002582030455246667,10383.168760954575,10299.999999996811
ITE_SDR,13,0.0025812986257087722,10383.168760954575,10299.999999996811
MITE_2M,13,0.0007509199595185886,10383.168760954575,10299.999999996811
MITE_SDR,13,0.0007478896653996817,10383.168760954575,10299.999999996811
Oracle,13,,10383.168760954575,10299.999999996811
RAND,14,,7189.59508642583,6999.999999997559
ITE_best,14,0.0020266830884502836,10609.477024155216,10299.999999996815
