method,split,RMSE,AUUC,AUUC_thout
RAND,0,,625.172361459372,874.9999999996926
ITE_best,0,0.0024494043343113994,1060.6636183401897,1187.4999999996585
ITE_2M,0,0.0024487540418093247,1060.6636183401897,1187.4999999996585
ITE_SDR,0,0.002442177150693879,1060.6636183401897,1187.4999999996585
MITE_2M,0,0.0002707380750166811,1183.9635971003158,1287.4999999995982
MITE_SDR,0,0.0002739092062569155,1183.9635971003158,1287.4999999995982
Oracle,0,,1183.9635971003158,1287.4999999995982
RAND,1,,729.4008741813923,874.9999999996945
ITE_best,1,0.0024545444404591938,1192.9463066243595,1212.4999999996526
ITE_2M,1,0.002453369843557171,1192.9463066243595,1212.4999999996526
ITE_SDR,1,0.002453721702381343,1192.9463066243595,1212.4999999996526
MITE_2M,1,0.000334995401807049,1219.044979783817,1282.4999999996064
MITE_SDR,1,0.00033951661401105754,1219.044979783817,1282.4999999996064
Oracle,1,,1232.033027652682,1287.499999999602
RAND,2,,823.364017798096,874.9999999996918
ITE_best,2,0.0024149705153578573,1244.6939302147607,1232.4999999996733
ITE_2M,2,0.0024135206503604653,1244.6939302147607,1232.4999999996733
ITE_SDR,2,0.002413120444612535,1244.6939302147607,1232.4999999996733
MITE_2M,2,0.00022427179970199574,1271.2420163795098,1287.4999999995985
MITE_SDR,2,0.00022941380428670427,1271.2420163795098,1287.4999999995985
Oracle,2,,1271.2420163795098,1287.4999999995985
RAND,3,,799.7921068701689,874.9999999996901
ITE_best,3,0.002203699522192005,1253.625618009541,1212.4999999996091
ITE_2M,3,0.0022026601095933847,1253.625618009541,1212.4999999996091
ITE_SDR,3,0.0022031934351302586,1253.625618009541,1212.4999999996091
MITE_2M,3,0.00020383736193433754,1335.4297072456468,1287.4999999995962
MITE_SDR,3,0.0002022623251541843,1335.4297072456468,1287.4999999995962
Oracle,3,,1335.4297072456468,1287.4999999995962
RAND,4,,768.0811051925157,874.9999999996924
ITE_best,4,0.0018768443974861956,1262.8793964554764,1237.4999999996176
ITE_2M,4,0.001876258677965295,1262.8793964554764,1237.4999999996176
