method,split,RMSE,AUUC,AUUC_thout
RAND,0,,5226.390328426638,5249.999999997444
ITE_best,0,0.002176901682875181,7728.5656503047485,7724.999999995962
ITE_2M,0,0.0021754455280515233,7728.5656503047485,7724.999999995962
ITE_SDR,0,0.0021752223284416047,7728.5656503047485,7724.999999995962
MITE_2M,0,0.0009235920507209829,7728.5656503047485,7724.999999995962
MITE_SDR,0,0.0009246352849270891,7728.5656503047485,7724.999999995962
Oracle,0,,7728.5656503047485,7724.999999995962
RAND,1,,5219.36689884312,5249.999999997444
ITE_best,1,0.0016454101149616623,7769.198968352856,7724.999999995958
ITE_2M,1,0.001645237043026989,7769.198968352856,7724.999999995958
ITE_SDR,1,0.0016440071963836958,7769.198968352856,7724.999999995958
MITE_2M,1,0.0004961032105698084,7769.198968352856,7724.999999995958
MITE_SDR,1,0.0004935959594643164,7769.198968352856,7724.999999995958
Oracle,1,,7769.198968352856,7724.999999995958
RAND,2,,5298.468066587968,5249.999999997431
ITE_best,2,0.0014389036888985676,7789.156745805307,7724.999999995952
ITE_2M,2,0.0014350471326518757,7789.156745805307,7724.999999995952
ITE_SDR,2,0.001437391418852436,7789.156745805307,7724.999999995952
MITE_2M,2,0.0007683164835093052,7789.156745805307,7724.999999995952
MITE_SDR,2,0.0007652472855288755,7789.156745805307,7724.999999995952
Oracle,2,,7789.156745805307,7724.999999995952
RAND,3,,5404.922251541775,5249.999999997444
ITE_best,3,0.0021584694142056443,7984.581448590835,7694.999999996002
ITE_2M,3,0.002159108656034297,7984.581448590835,7694.999999996002
ITE_SDR,3,0.002159629036910838,7984.581448590835,7694.999999996002
MITE_2M,3,0.0008992788591066732,8025.388236286743,7724.999999995968
MITE_SDR,3,0.0009002899619226417,8025.388236286743,7724.999999995968
Oracle,3,,8025.388236286743,7724.999999995968
RAND,4,,5353.61002617576,5249.9999999974525
ITE_best,4,0.0015487339341384186,7962.4137579576,7724.999999995978
ITE_2M,4,0.0015495932793250804,7962.4137579576,7724.999999995978
ITE_SDR,4,0.0015497902809547361,7962.4137579576,7724.999999995978
MITE_2M,4,0.000662769836635253,7962.4137579576,7724.999999995978
MITE_SDR,4,0.0006613052462757697,7962.4137579576,7724.999999995978
