method,split,RMSE,AUUC,AUUC_thout
RAND,0,,7698.615884115883,7875.00000000503
ITE_best,0,0.0019094372521273985,11329.239970985287,11587.500000007392
ITE_2M,0,0.0019094516671961132,11329.239970985287,11587.500000007392
ITE_SDR,0,0.001910227017317317,11329.239970985287,11587.500000007392
MITE_2M,0,0.0009537532032707246,11329.239970985287,11587.500000007392
MITE_SDR,0,0.0009601061778016772,11329.239970985287,11587.500000007392
Oracle,0,,11329.239970985287,11587.500000007392
RAND,1,,7842.176886613044,7875.000000005022
ITE_best,1,0.0025909669219346255,11551.298431419373,11587.500000007376
ITE_2M,1,0.0025920992189556787,11551.298431419373,11587.500000007376
ITE_SDR,1,0.0025937574146169045,11551.298431419373,11587.500000007376
MITE_2M,1,0.001116460893180061,11551.298431419373,11587.500000007376
MITE_SDR,1,0.0011246462515563413,11551.298431419373,11587.500000007376
Oracle,1,,11551.298431419373,11587.500000007376
RAND,2,,7774.7652626408235,7875.000000005023
ITE_best,2,0.002421254436442634,11406.477405522051,11587.500000007383
ITE_2M,2,0.002421663103817248,11406.477405522051,11587.500000007383
ITE_SDR,2,0.0024230632099062816,11406.477405522051,11587.500000007383
MITE_2M,2,0.0009769988224997178,11406.477405522051,11587.500000007383
MITE_SDR,2,0.0009834815582955216,11406.477405522051,11587.500000007383
Oracle,2,,11406.477405522051,11587.500000007383
RAND,3,,7660.607947274122,7875.000000005031
ITE_best,3,0.002125478791145359,11324.508500973878,11587.500000007392
ITE_2M,3,0.002125348482915179,11324.508500973878,11587.500000007392
ITE_SDR,3,0.002125196905384807,11324.508500973878,11587.500000007392
MITE_2M,3,0.0005205627178214796,11324.508500973878,11587.500000007392
MITE_SDR,3,0.0005259017414494826,11324.508500973878,11587.500000007392
Oracle,3,,11324.508500973878,11587.500000007392
RAND,4,,7757.636819555948,7875.0000000050295
ITE_best,4,0.0018148194741989686,11412.30570472542,11587.50000000739
ITE_2M,4,0.0018152932326731968,11412.30570472542,11587.50000000739
ITE_SDR,4,0.0018165447503691685,11412.30570472542,11587.50000000739
MITE_2M,4,0.0009836944567392066,11412.30570472542,11587.50000000739
MITE_SDR,4,0.0009858609498514326,11412.30570472542,11587.50000000739
Oracle,4,,11412.30570472542,11587.50000000739
RAND,5,,7673.311414332511,7875.000000005027
ITE_best,5,0.002118564944135211,11365.199041980888,11587.500000007385
ITE_2M,5,0.002119579900329723,11365.199041980888,11587.500000007385
ITE_SDR,5,0.0021202371837683136,11365.199041980888,11587.500000007385
MITE_2M,5,0.000965246112375771,11365.199041980888,11587.500000007385
MITE_SDR,5,0.0009699231197514221,11365.199041980888,11587.500000007385
Oracle,5,,11365.199041980888,11587.500000007385
RAND,6,,7776.895603351542,7875.000000005024
ITE_best,6,0.0016962765727806639,11464.549228740976,11587.50000000738
ITE_2M,6,0.001697456972477616,11464.549228740976,11587.50000000738
ITE_SDR,6,0.0016982421119092718,11464.549228740976,11587.50000000738
MITE_2M,6,0.001178907284717091,11464.549228740976,11587.50000000738
MITE_SDR,6,0.0011841117995674063,11464.549228740976,11587.50000000738
Oracle,6,,11464.549228740976,11587.50000000738
RAND,7,,7862.099180826215,7875.000000005026
ITE_best,7,0.0015618019666764056,11553.829387998878,11587.500000007381
ITE_2M,7,0.0015636743119433216,11553.829387998878,11587.500000007381
ITE_SDR,7,0.0015660847175452798,11553.829387998878,11587.500000007381
MITE_2M,7,0.0010386077291051313,11553.829387998878,11587.500000007381
MITE_SDR,7,0.0010457709512400658,11553.829387998878,11587.500000007381
Oracle,7,,11553.829387998878,11587.500000007381
RAND,8,,7794.7985654685945,7875.0000000050295
ITE_best,8,0.002235436795139339,11530.216089401805,11587.500000007387
ITE_2M,8,0.002237310068002072,11530.216089401805,11587.500000007387
ITE_SDR,8,0.002238636066730838,11530.216089401805,11587.500000007387
MITE_2M,8,0.0011538541735044722,11530.216089401805,11587.500000007387
MITE_SDR,8,0.0011572735512171855,11530.216089401805,11587.500000007387
Oracle,8,,11530.216089401805,11587.500000007387
RAND,9,,7563.220220244235,7875.000000005027
ITE_best,9,0.0019281245340207565,11302.024142000031,11587.500000007376
ITE_2M,9,0.0019298865527366794,11302.024142000031,11587.500000007376
ITE_SDR,9,0.0019288011665123993,11302.024142000031,11587.500000007376
MITE_2M,9,0.00046295759410938816,11302.024142000031,11587.500000007376
MITE_SDR,9,0.0004687076945402223,11302.024142000031,11587.500000007376
Oracle,9,,11302.024142000031,11587.500000007376
RAND,10,,7784.103169015492,7875.000000005028
ITE_best,10,0.00223096769395526,11469.40568931382,11587.500000007383
ITE_2M,10,0.002231653288838301,11469.40568931382,11587.500000007383
ITE_SDR,10,0.002231257225617128,11469.40568931382,11587.500000007383
MITE_2M,10,0.0007799062843944786,11469.40568931382,11587.500000007383
MITE_SDR,10,0.0007863540057974902,11469.40568931382,11587.500000007383
Oracle,10,,11469.40568931382,11587.500000007383
RAND,11,,7708.616678612758,7875.000000005026
ITE_best,11,0.002014963202237453,11368.338565474176,11587.500000007381
ITE_2M,11,0.0020152017109972215,11368.338565474176,11587.500000007381
ITE_SDR,11,0.0020158120364023235,11368.338565474176,11587.500000007381
MITE_2M,11,0.0008465617567614605,11368.338565474176,11587.500000007381
MITE_SDR,11,0.0008521754828892769,11368.338565474176,11587.500000007381
Oracle,11,,11368.338565474176,11587.500000007381
RAND,12,,7724.66215999936,7875.0000000050295
ITE_best,12,0.0016928572336415684,11377.802779095122,11587.500000007383
ITE_2M,12,0.0016933751271683045,11377.802779095122,11587.500000007383
ITE_SDR,12,0.0016944968588272849,11377.802779095122,11587.500000007383
MITE_2M,12,0.001079700958897883,11377.802779095122,11587.500000007383
MITE_SDR,12,0.001085990493322626,11377.802779095122,11587.500000007383
Oracle,12,,11377.802779095122,11587.500000007383
RAND,13,,7685.65571007922,7875.000000005033
ITE_best,13,0.0015614039393971313,11251.772445785833,11587.500000007394
ITE_2M,13,0.0015605625375388183,11251.772445785833,11587.500000007394
ITE_SDR,13,0.0015618021911913164,11251.772445785833,11587.500000007394
MITE_2M,13,0.0009051941142982451,11251.772445785833,11587.500000007394
MITE_SDR,13,0.0009118597035582672,11251.772445785833,11587.500000007394
Oracle,13,,11251.772445785833,11587.500000007394
RAND,14,,7648.522869282679,7875.000000005033
ITE_best,14,0.0017755248770413101,11415.988991004024,11587.500000007389
ITE_2M,14,0.0017778957789360752,11415.988991004024,11587.500000007389
ITE_SDR,14,0.0017775691770040073,11415.988991004024,11587.500000007389
MITE_2M,14,0.0008648932812770552,11415.988991004024,11587.500000007389
MITE_SDR,14,0.000870999953910661,11415.988991004024,11587.500000007389
Oracle,14,,11415.988991004024,11587.500000007389
RAND,15,,7897.490879270343,7875.000000005027
ITE_best,15,0.0023134729857011,11513.442568474948,11587.500000007383
ITE_2M,15,0.0023135680641027125,11513.442568474948,11587.500000007383
ITE_SDR,15,0.0023158398713594847,11513.442568474948,11587.500000007383
MITE_2M,15,0.000663827609700608,11513.442568474948,11587.500000007383
MITE_SDR,15,0.0006696746729861798,11513.442568474948,11587.500000007383
Oracle,15,,11513.442568474948,11587.500000007383
RAND,16,,7710.215600329539,7875.0000000050295
ITE_best,16,0.002575644103906676,11284.184389236734,11587.500000007389
ITE_2M,16,0.0025749876076586213,11284.184389236734,11587.500000007389
ITE_SDR,16,0.0025764646920782277,11284.184389236734,11587.500000007389
MITE_2M,16,0.0011353238966279274,11284.184389236734,11587.500000007389
MITE_SDR,16,0.0011384646044922799,11284.184389236734,11587.500000007389
Oracle,16,,11284.184389236734,11587.500000007389
RAND,17,,7749.898012617159,7875.000000005028
ITE_best,17,0.0017123343191090417,11303.665231738445,11587.500000007378
ITE_2M,17,0.0017110599684204669,11303.665231738445,11587.500000007378
ITE_SDR,17,0.001712961520498042,11303.665231738445,11587.500000007378
MITE_2M,17,0.0006588687170416348,11303.665231738445,11587.500000007378
MITE_SDR,17,0.0006626273928173692,11303.665231738445,11587.500000007378
Oracle,17,,11303.665231738445,11587.500000007378
RAND,18,,7719.133505031983,7875.000000005026
ITE_best,18,0.002034724748942775,11462.131352552035,11587.500000007378
ITE_2M,18,0.002035809765500102,11462.131352552035,11587.500000007378
ITE_SDR,18,0.002038034376957701,11462.131352552035,11587.500000007378
MITE_2M,18,0.0011872584823720597,11462.131352552035,11587.500000007378
MITE_SDR,18,0.001191921794630418,11462.131352552035,11587.500000007378
Oracle,18,,11462.131352552035,11587.500000007378
RAND,19,,7536.100915798168,7875.000000005024
ITE_best,19,0.0018001358826668565,11238.855895950506,11587.500000007378
ITE_2M,19,0.001801399668145605,11238.855895950506,11587.500000007378
ITE_SDR,19,0.0018002794827196673,11238.855895950506,11587.500000007378
MITE_2M,19,0.001128365100104502,11238.855895950506,11587.500000007378
MITE_SDR,19,0.0011322988914414334,11238.855895950506,11587.500000007378
