method,split,RMSE,AUUC,AUUC_thout
RAND,0,,4307.976090998141,4374.999999998863
ITE_best,0,0.001728398182902739,6401.127354671148,6412.499999998559
ITE_2M,0,0.0017264433896305744,6401.127354671148,6412.499999998559
ITE_SDR,0,0.0017261755151446654,6401.127354671148,6412.499999998559
MITE_2M,0,0.0004603150219744264,6423.427833665407,6437.499999998553
MITE_SDR,0,0.00046290427039098216,6423.427833665407,6437.499999998553
Oracle,0,,6423.427833665407,6437.499999998553
RAND,1,,4181.618632825612,4374.999999998865
ITE_best,1,0.001955586091010826,6368.3322802121575,6437.499999998555
ITE_2M,1,0.0019544559146580922,6368.3322802121575,6437.499999998555
ITE_SDR,1,0.0019545786115392305,6368.3322802121575,6437.499999998555
MITE_2M,1,0.0004968533403775104,6368.3322802121575,6437.499999998555
MITE_SDR,1,0.0004946853816794896,6368.3322802121575,6437.499999998555
Oracle,1,,6368.3322802121575,6437.499999998555
RAND,2,,4346.963006116228,4374.999999998861
ITE_best,2,0.002304506375252811,6533.28929016119,6412.4999999985575
ITE_2M,2,0.0023036775031647894,6533.28929016119,6412.4999999985575
ITE_SDR,2,0.0023014492398189413,6533.28929016119,6412.4999999985575
MITE_2M,2,0.00044912617697470745,6552.957866543108,6437.499999998551
MITE_SDR,2,0.00044426048200310077,6552.957866543108,6437.499999998551
Oracle,2,,6552.957866543108,6437.499999998551
RAND,3,,4315.824451560675,4374.999999998865
ITE_best,3,0.0017986144998638686,6459.9859604161875,6437.4999999985575
ITE_2M,3,0.0017968906372586616,6459.9859604161875,6437.4999999985575
ITE_SDR,3,0.0017961755525922145,6459.9859604161875,6437.4999999985575
MITE_2M,3,0.0005661996409470681,6459.9859604161875,6437.4999999985575
MITE_SDR,3,0.0005663415773696168,6459.9859604161875,6437.4999999985575
Oracle,3,,6459.9859604161875,6437.4999999985575
RAND,4,,4311.173006063946,4374.999999998857
ITE_best,4,0.002119538365624522,6377.2920380481855,6437.499999998545
ITE_2M,4,0.002117154625377839,6377.2920380481855,6437.499999998545
ITE_SDR,4,0.002117490401534712,6377.2920380481855,6437.499999998545
MITE_2M,4,0.000543430793772761,6377.2920380481855,6437.499999998545
MITE_SDR,4,0.000540852894220099,6377.2920380481855,6437.499999998545
Oracle,4,,6377.2920380481855,6437.499999998545
RAND,5,,4381.861981732112,4374.999999998857
ITE_best,5,0.0019284989687144449,6533.479770220243,6437.499999998545
ITE_2M,5,0.0019271480262819088,6533.479770220243,6437.499999998545
ITE_SDR,5,0.0019262176048573162,6533.479770220243,6437.499999998545
MITE_2M,5,0.0005500294999165875,6533.479770220243,6437.499999998545
MITE_SDR,5,0.0005481728984657472,6533.479770220243,6437.499999998545
Oracle,5,,6533.479770220243,6437.499999998545
RAND,6,,4273.5845612843295,4374.999999998854
ITE_best,6,0.0014938280214635738,6456.148893113821,6437.499999998539
ITE_2M,6,0.00149241743974891,6456.148893113821,6437.499999998539
ITE_SDR,6,0.0014924296965701156,6456.148893113821,6437.499999998539
MITE_2M,6,0.0006416281954563631,6456.148893113821,6437.499999998539
MITE_SDR,6,0.0006385708952963068,6456.148893113821,6437.499999998539
Oracle,6,,6456.148893113821,6437.499999998539
RAND,7,,4160.740690318729,4374.999999998863
ITE_best,7,0.0019574146982870495,6302.6817471392205,6437.4999999985575
ITE_2M,7,0.0019558126916318207,6302.6817471392205,6437.4999999985575
ITE_SDR,7,0.001955004922700416,6302.6817471392205,6437.4999999985575
MITE_2M,7,0.0004461643433630102,6302.6817471392205,6437.4999999985575
MITE_SDR,7,0.00044794590802297186,6302.6817471392205,6437.4999999985575
Oracle,7,,6302.6817471392205,6437.4999999985575
RAND,8,,4352.33683750065,4374.999999998852
ITE_best,8,0.0026688534756196297,6471.288555103252,6412.499999998544
ITE_2M,8,0.002667488775079712,6471.288555103252,6412.499999998544
ITE_SDR,8,0.002669209223399628,6471.288555103252,6412.499999998544
MITE_2M,8,0.0005739531870193036,6502.143151646362,6437.499999998538
