method,split,RMSE,AUUC,AUUC_thout
RAND,0,,86691.92784351413,86625.00000002192
ITE_best,0,0.0023233896164389493,127608.14096259956,127462.50000003018
ITE_2M,0,0.0023303558539058146,127608.14096259956,127462.50000003018
ITE_SDR,0,0.0023271924600321036,127608.14096259956,127462.50000003018
MITE_2M,0,0.0023875806722739594,127608.14096259956,127462.50000003018
MITE_SDR,0,0.002382067131461731,127608.14096259956,127462.50000003018
Oracle,0,,127608.14096259956,127462.50000003018
RAND,1,,86567.6252614655,86625.00000002202
ITE_best,1,0.0022071674826311875,127288.07424792451,127462.50000003041
ITE_2M,1,0.0022036443658013127,127288.07424792451,127462.50000003041
ITE_SDR,1,0.002202350127435294,127288.07424792451,127462.50000003041
MITE_2M,1,0.0022401000992251716,127288.07424792451,127462.50000003041
MITE_SDR,1,0.002234018679139956,127288.07424792451,127462.50000003041
Oracle,1,,127288.07424792451,127462.50000003041
RAND,2,,86731.0376448456,86625.000000022
ITE_best,2,0.0029415192765234765,127552.07798001551,127462.50000003037
ITE_2M,2,0.002950780349172345,127552.07798001551,127462.50000003037
ITE_SDR,2,0.002954758351377014,127552.07798001551,127462.50000003037
MITE_2M,2,0.0028603948210061386,127552.07798001551,127462.50000003037
MITE_SDR,2,0.0028610921182298573,127552.07798001551,127462.50000003037
Oracle,2,,127552.07798001551,127462.50000003037
RAND,3,,86604.93870457978,86625.00000002206
ITE_best,3,0.0029644952969724763,127525.80483519565,127462.5000000304
ITE_2M,3,0.0029701079839337882,127525.80483519565,127462.5000000304
ITE_SDR,3,0.0029635688725617136,127525.80483519565,127462.5000000304
MITE_2M,3,0.0030330472418155217,127525.80483519565,127462.5000000304
MITE_SDR,3,0.003026173784619805,127525.80483519565,127462.5000000304
Oracle,3,,127525.80483519565,127462.5000000304
RAND,4,,86534.07838953793,86625.00000002209
ITE_best,4,0.0025216652413977726,127417.73317978735,127462.50000003047
ITE_2M,4,0.002526395437040428,127417.73317978735,127462.50000003047
ITE_SDR,4,0.0025044026336482187,127417.73317978735,127462.50000003047
MITE_2M,4,0.0024825026039107002,127417.73317978735,127462.50000003047
MITE_SDR,4,0.002473376557085247,127417.73317978735,127462.50000003047
Oracle,4,,127417.73317978735,127462.50000003047
RAND,5,,86605.17845110768,86625.00000002183
ITE_best,5,0.0023327716016178666,127370.84708651889,127462.50000003011
ITE_2M,5,0.0023360179900270913,127370.84708651889,127462.50000003011
ITE_SDR,5,0.00232420439231888,127370.84708651889,127462.50000003011
MITE_2M,5,0.002193229335238848,127370.84708651889,127462.50000003011
MITE_SDR,5,0.002191759165189996,127370.84708651889,127462.50000003011
Oracle,5,,127370.84708651889,127462.50000003011
RAND,6,,86627.92036631794,86625.00000002193
ITE_best,6,0.0016869847798506449,127249.12371894861,127462.50000003021
ITE_2M,6,0.001691161480933555,127249.12371894861,127462.50000003021
ITE_SDR,6,0.0016997214265416277,127249.12371894861,127462.50000003021
MITE_2M,6,0.0016965352541468755,127249.12371894861,127462.50000003021
MITE_SDR,6,0.0017012119470205223,127249.12371894861,127462.50000003021
Oracle,6,,127249.12371894861,127462.50000003021
RAND,7,,86677.28612999227,86625.00000002192
ITE_best,7,0.002081009029950616,127487.08466925466,127462.50000003021
ITE_2M,7,0.0020858662249114354,127487.08466925466,127462.50000003021
ITE_SDR,7,0.0020858923899906468,127487.08466925466,127462.50000003021
MITE_2M,7,0.0020502868680264004,127487.08466925466,127462.50000003021
MITE_SDR,7,0.0020505172425221777,127487.08466925466,127462.50000003021
Oracle,7,,127487.08466925466,127462.50000003021
RAND,8,,87068.15785047851,86625.00000002212
ITE_best,8,0.002454848108624878,128015.35248743046,127462.50000003047
ITE_2M,8,0.0024725738558365956,128015.35248743046,127462.50000003047
ITE_SDR,8,0.0024873673546773937,128015.35248743046,127462.50000003047
MITE_2M,8,0.002287797976170795,128015.35248743046,127462.50000003047
MITE_SDR,8,0.0023003836282747053,128015.35248743046,127462.50000003047
Oracle,8,,128015.35248743046,127462.50000003047
RAND,9,,86658.95025465534,86625.00000002197
ITE_best,9,0.001505115753470687,127508.2513319269,127462.50000003034
ITE_2M,9,0.0015216320806636606,127508.2513319269,127462.50000003034
ITE_SDR,9,0.0015237537825155971,127508.2513319269,127462.50000003034
MITE_2M,9,0.0015400904180451177,127508.2513319269,127462.50000003034
MITE_SDR,9,0.0015451488486221904,127508.2513319269,127462.50000003034
Oracle,9,,127508.2513319269,127462.50000003034
RAND,10,,86668.37512158608,86625.00000002203
ITE_best,10,0.0021297783044930225,127527.1278909083,127462.50000003037
ITE_2M,10,0.002134373438215084,127527.1278909083,127462.50000003037
ITE_SDR,10,0.0021215810024597225,127527.1278909083,127462.50000003037
